x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,y
0,1,2,8,1,0,0,0,3,0,4,6,60,1027549,31,0,0,126,1.203938591,4.81,7.25,10.02,0
1,12,0,2,0,0,0,0,3,3,9,4,110,400531,19,0,0,6,3.375939094,3.61,6.58,4.98,0
0,0,0,3,2,0,1,0,0,3,0,4,157,608589,41,24153,0,126,2.972356909,4.18,12.56,7.82,1
0,3,2,2,1,0,0,0,1,0,2,4,57,522208,28,0,0,63,2.506175415,6.17,7.9,7.91,0
1,6,2,4,3,0,1,0,1,3,5,7,185,442829,35,0,0,110,1.121894325,4.51,8.2,7.28,1
0,0,4,2,3,0,1,0,3,2,7,2,207,421382,41,0,0,38,1.879496142,5.57,12.39,9.98,0
0,3,0,9,2,0,1,0,1,4,4,4,148,293918,28,0,0,126,3.307213013,5.58,10.9,9.84,0
0,0,0,3,2,0,1,0,2,3,9,2,116,579486,41,0,0,126,3.073178883,5.39,10.34,5.61,1
1,7,0,8,2,0,1,0,1,3,3,7,217,337872,16,0,0,126,2.402650452,5.18,11.4,5.83,0
4,3,1,6,3,0,1,0,2,3,2,2,123,523066,28,0,0,126,1.920708607,5.5,8.5,8.26,1
0,3,2,8,5,0,0,0,3,0,4,3,123,340212,28,0,0,126,1.066538653,3.78,13.52,6.09,0
0,3,0,7,0,2,0,0,2,1,6,4,97,832095,28,0,0,126,1.910011318,3.62,8.02,11.02,0
0,3,0,10,2,0,1,0,3,0,2,0,157,416940,28,0,0,126,2.504630611,2.31,10.19,8.86,1
0,1,1,2,3,0,0,0,0,4,5,5,132,616249,31,27062,0,163,1.604923166,4.91,11.29,9.81,1
0,0,0,5,2,0,1,0,2,1,2,1,123,1006268,41,0,0,188,0.653884529,5.27,7.86,3.88,0
0,1,2,8,3,0,0,0,3,1,2,5,119,90283,31,0,0,126,0.860255822,6.26,12.27,9.04,0
0,1,0,3,2,0,1,0,0,1,8,5,220,917339,31,62992,0,204,1.888436981,4.23,12.26,7.38,1
None,12,1,None,3,0,0,0,2,1,4,6,176,374647,19,0,0,126,1.85281157,6.94,7.12,7.83,0
0,3,2,2,3,0,1,0,2,3,4,0,57,1150307,28,0,0,94,2.155920336,5.49,11.34,9.94,0
1,0,0,3,2,0,1,0,0,0,1,5,148,125620,41,0,0,126,1.406519945,5.91,11.78,8.27,0
1,2,5,1,3,0,1,14,2,2,6,0,94,822918,22,0,0,94,3.126667203,3.71,12.22,8.77,0
1,0,2,0,3,0,0,0,2,0,8,1,97,639198,41,0,0,126,3.420974275,6.05,8.92,10.77,0
0,3,0,1,2,0,1,0,2,4,6,4,173,620147,28,0,0,157,1.106176031,5.45,12.5,9.01,1
4,11,4,9,3,1,1,15,2,0,1,7,251,256147,6,3412,0,63,2.246260998,3.34,8.65,8.08,0
0,3,3,8,3,0,0,0,3,4,4,5,107,576661,28,0,0,63,2.69806928,5.09,10.99,2.91,0
0,3,2,2,5,0,0,0,0,3,0,5,116,564642,28,0,0,110,2.448037238,4.58,14.3,6.65,0
0,9,2,3,3,4,0,0,0,1,1,1,110,171515,25,0,0,126,0.327944153,6.06,11.19,4.96,0
5,3,4,4,3,0,0,0,1,2,7,0,154,658107,28,0,0,126,1.80845157,4.36,8.88,7.34,0
1,4,0,5,2,0,1,0,2,0,9,5,154,569593,47,47199,0,204,1.690074869,6.16,11.17,8.78,1
4,0,0,12,2,0,1,0,1,0,6,6,85,269919,41,0,0,214,2.312047785,1.95,8.76,8.03,0
0,0,2,8,1,0,0,0,0,3,2,0,69,646980,41,3314,0,94,1.347002105,4.08,7.72,10.24,0
0,3,1,8,3,0,1,0,3,1,8,4,126,381597,28,0,0,126,2.64455182,5.68,11.39,9.71,0
0,0,2,3,1,0,0,0,3,4,1,3,79,618727,41,0,0,126,1.721765638,4.46,11.92,9,0
None,1,4,None,3,0,0,0,3,2,2,0,226,988241,31,0,0,25,2.32923644,4.76,8.72,8.35,0
0,1,1,2,3,0,0,0,2,1,5,5,154,90450,31,0,0,126,1.965248633,3.22,9.25,8.97,0
0,1,2,2,3,0,0,0,2,4,8,6,75,460890,31,0,0,94,1.448180551,5.67,10.6,8.58,0
0,3,1,2,5,0,0,0,2,4,0,7,91,1420644,28,0,0,113,1.948254758,3.94,8,7.84,0
2,1,0,4,2,0,1,None,2,0,0,1,154,375543,31,0,0,188,2.659491577,4.93,11.32,7.52,1
0,3,0,3,2,0,1,0,0,0,4,1,170,550844,28,0,0,157,2.372431606,5.65,11.52,10.33,0
0,1,0,3,0,4,0,3,0,3,7,5,126,593579,31,0,0,126,1.836075476,5.61,8.39,6.66,0
0,1,2,1,1,0,1,0,0,2,8,5,101,1191958,31,0,0,126,0.928136494,5.72,13.17,8.79,0
